X,Y,UNIQ_GIS_ID,PR_VERS_NUM,PR_NUM,PR_MP,FACL_ID,FACL_TYP_CD,FACL_ENTR_TYPE_CD,FACL_NAME,CRPL_PRMY_RTE_NAME,CRPL_LOT_LOC_NAME,CRPL_EXIT_NUM,CRPL_QUAD_CD,CRPL_DRTN_TXT,ENTR_SIGN_IND,USAGE_COND_YR,CRPL_LOT_CPCY,CRPL_LOT_USGE_QTY,AREA_LIT_DESC,SURF_TYP_DESC,CNTY_CD,FACL_PHYS_ADDR,CRPL_ENTR_PASER_COND_CD,CRPL_LOT_PASER_COND_CD
-85.635669239,42.031710375,305,17,238202,13.296,778001,CL,P,Moorepark,US-131,M-216,,SW,"Southbound I-69: exit #25 (M-60), turn left/east on M-60; lot on north side of M-60.

Northbound I-69: exit #25 (M-60), left/west on M-60; lot on north side of M-60.",Yes,2019,29,5,No,Paved,78,"52709 U.S. 131
Three Rivers, Mi 49093",6,6
-84.678122323,43.5228213330001,306,17,242001,0.933,537002,CL,P,Shepherd,US-127,Blanchard Road,135,SW,,Yes,2019,25,2,Yes,Paved,37,"8190 S Genuine Rd
Shepherd, Mi 48883",7,7
-84.7390653159999,43.6116041060001,307,17,242308,15.446,537001,CL,P,Mt. Pleasant,US-127,M-20,143,SW,"From northbound US-127 take M-20 (Exit 143) at Mt. Pleasant (second Mt. Pleasant exit). Turn right/west onto M-20. Lot is first left/south past overpass inside interchange.

From southbound US-127 take M-20 (Exit 143) at Mt. Pleasant (second Mt. Pleasant exit). Turn left/west onto M-20. Lot is first right/south inside interchange.

From westbound M-20 in Mt. Pleasant lot is first left/south past freeway overpass inside US-127/M-20 interchange west of town.

From eastbound M-20 in Mt. Pleasant lot is first right/south past southbound US-127 on-ramp inside US-127/M-20 interchange.",Yes,2019,36,7,Yes,Paved,37,"5417 E Pickard Rd
Mt Pleasant, Mi 48858",7,8
-83.28522736,43.4100508930001,308,17,269804,5.969,679002,CL,P,Kingston,M-46,Hurds Corner Road,,SW,"From eastbound M-46 turn right/south onto Hurds Corner Road 5 miles east of M-24 intersection south of Caro.  Lot is first right/west.

From westbound M-46 turn left/south onto Hurds Corner Road 5 miles west of Kingston (10 miles west of M-53 intersection).  Lot is first left/west.",Yes,2019,20,7,Yes,Paved,79,"3516-3564 Hurds Corner Rd Mayville, MI 48744",7,7
-83.322687523,43.3351897090001,309,17,269810,0.082,679001,CL,P,Mayville,M-24,Treasurer Road,,NE,"From northbound M-24 turn right/east onto Treasurer Road about 8 miles north of M-90 junction north of Lapeer.  Lot is first left/west.

From southbound (eastbound) M-24 turn left/north onto Treasurer Road about 1.5 miles east of Mayville.  Lot is first left/west.",Yes,2019,22,8,Yes,Paved,79,"6598 Treasurer Rd, Mayville, MI 48744",6,6
-84.476464565,42.6403064310001,310,17,352307,6.444,833004,CL,P,Holt,US-127,Holt Road,70,NE,,Yes,2019,56,16,No,Paved,33,"3324 Holt Rd, Mason, MI 48854",5,6
-84.4403472499999,42.4504271690001,311,17,354105,0.978,833007,CL,P,Leslie,US-127,Bellevue Road,56,SW,"From southbound US-127, take Holt Road (Exit 70) south of Lansing (3.5 miles south of I-96 exit 106). Turn left/east onto Holt Road. Lot is first left/north inside interchange.

From northbound US-127, take Holt Road (Exit 70) north of Mason. Turn left/west onto Holt Road. Lot is first right/north inside interchange. ",Yes,2019,22,9,Near,Paved,33,"4616 S Hull Rd, Leslia, MI 49251",7,6
-84.282023921,42.6633057060001,312,17,360204,4.296,833002,CL,P,Williamston,I-96,Williamston Road,117,SE,"From eastbound I-96, take exit 117 for southbound Williamston Road near Williamston. Turn right/south onto Williamston Road. Lot is first left/east.

From westbound I-96, take exit 117 near Williamston. Turn left/south onto Williamston Road. Lot is first left/east past eastbound I-96 on-ramp.",Yes,2019,37,19,Near,Paved,33,"2598 N Williamston Rd, Williamston, MI 48895",7,10
-84.1981923609999,42.660805124,313,17,360401,7.552,833003,CL,P,Webberville,I-96,M-52,122,NW,,Yes,2019,86,35,Near,Paved,33,"2625 Michigan 52, Williamston, MI 48895",7,6
-84.440262237,42.5240683910001,315,17,362007,8.343,833001,CL,P,Eden,US-127,Barnes Road,61,NE,"From southbound US-127, take Holt Road (Exit 70) south of Lansing (3.5 miles south of I-96 exit 106). Turn left/east onto Holt Road. Lot is first left/north inside interchange.

From northbound US-127, take Holt Road (Exit 70) north of Mason. Turn left/west onto Holt Road. Lot is first right/north inside interchange. ",Yes,2019,14,9,No,Paved,33,"127 S Barnes St, Mason, Michigan 48854-1619",6,6
-84.445033998,42.567723754,317,17,362101,3.079,833009,CL,P,Mason - Meijer,US-127,Hull Road,64,SE,,Yes,2015,50,,Yes,Paved,33,"550 Hull Road,
Mason, MI 48854",,
-85.659341202,43.043726629,318,17,405602,2.672,541008,CL,P,Grand Rapids/Comstock Park,US-131,West River Road,91,SE,"From northbound US-131 take exit 91 north of Grand Rapids.  Turn right/southwest onto West River Road.  Lot is first right/northwest inside interchange.

From southbound US-131 take exit 91 north of Grand Rapids.  Turn left/northeast onto West River Road.  Lot is first left/northwest past freeway overpass inside interchange.",Yes,2019,75,44,Yes,Paved,41,"4395 West River Dr NE
Comstock Park, Mi 49321",7,7
-85.590712,42.971459,319,17,405708,0.339,541004,CL,P,Grand Rapids - Kentwood,I-96,M-44/M-37/East Beltline,38,SE,"From westbound I-96 take exit 38/M-44/M-37/East Beltline east of Grand Rapids.  Turn right/north onto M-44/East Beltline and take first left (at first light) to southbound M-37/East Beltline.  Lot is first left/east at first light past overpass.

From eastbound I-96/M-37 take exit 38/M-44/M-37/East Beltline east of Grand Rapids.  Lot entrance is directly across from end of off-ramp at light.

From northbound M-37/East Beltline turn right/west at first light at I-96 interchange east of Grand Rapids.  This is the lot entrance.

From southbound M-44/East Beltline continue across overpass at I-96 interchange east of Grand Rapids.  Turn left/east at first light.  This is the lot entrance.",Yes,2019,161,98,Yes,Paved,41,"3250 Deposit Dr NE, Grand Rapids, MI 49546",7,7
-85.578145475,43.0725731740001,320,17,407503,3.239,541002,CL,P,Grand Rapids/Rockford,M-44,7 Mile Road,,NE,"From eastbound (northbound) M-44 lot is first right/east past 7 Mile Road about 1 mile north of M-44 Connector/ Plainfield Road northeast of Grand Rapids.

From westbound (southbound) M-44 lot is last left/east before 7 Mile Road about 1.5 miles south of Belding Road intersection south of Rockford.",Yes,2019,20,5,No,Paved,41,"6050 Northland Dr NE
Rockford, Mi 49341",8,8
-85.373159056,42.9307698540001,321,17,409005,17.692,541015,CL,P,Lowell - Meijer,I-96,Fulton Street,52,N,,Yes,2015,50,,Yes,Paved,41,"11901 Fulton St, 
Lowell, MI 49331",,
-85.531673263,42.9129324290001,322,17,409008,18.585,541014,CL,P,Grand Rapids - Meijer,I-96,28th St,43,NE,,Yes,2015,50,,Yes,Paved,41,"5531 28th Street
S.E., Grand Rapids
MI 49512",,
-85.541003034,42.8546156150001,323,17,409510,6.539,541013,CL,P,Grand Rapids/South Beltline E.,M-6,M-37 and 60th St.,15,SE,"From westbound M-6 exit number 15.  Turn Left (north) on M-37.  Next intersection is 60th St. SE - turn Right (east).  Lot is immediately on the Right (south).

From eastbound M-6 exit number 15.  Turn Right (north) on M-37.  Next intersection is 60th St. SE - turn Right (east).  Lot is immediately on the Right (south). ",Yes,2019,86,24,Yes,Paved,41,"5040 60th St SE
Grand Rapids, Mi 49512",7,6
-85.577006836,43.1756191700001,324,17,410710,3.749,541001,CL,P,Edgerton,US-131,M-57/14 Mile Road,101,SW,"From northbound US-131 take exit 101/M-57 north of Rockford.  Turn left/west onto M-57.  Lot is first left/south inside interchange.

From southbound US-131 take exit 101/M-57 south of Cedar Springs.  Turn left/east onto M-57.  Lot is first right/south inside interchange.

From westbound M-57 lot is first left/south past US-131 overpass inside interchange west of Greenville.",Yes,2019,70,26,Yes,Paved,41,"3765 14 Mile Rd NE
Cedar Springs, Mi 49319",7,6
-85.726395484,43.161042579,326,17,444908,3.231,541003,CL,P,Sparta,M-37,13 Mile Road,,SW,"From northbound M-37 turn left/west onto 13 Mile Road near Sparta.  Lot is first left/south.

From southbound M-37 turn right/west onto 13 Mile Road near Sparta.  Lot is first left/south.",Yes,2019,30,4,Yes,Paved,41,"2193 13 Mile Rd NW, Sparta, MI 49345",8,8
-85.751651545,43.2119938050001,327,17,445004,0.974,541010,CL,P,Kent City,M-37,Peach Ridge Road,,NW,"From northbound M-37 in Kent City (about 14 miles north of I-96) turn left/south onto Peach Ridge Avenue.  Turn right/west onto Rusco Road (next right).  Lot is first left/south.

From southbound M-37 turn right/south onto Peach Ridge Avenue about 0.75 miles south of M-46 junction west of Kent City.  Turn right/west onto Rusco Road (next right).  Lot is first left/south.",Yes,2019,28,2,Yes,Paved,41,"Rusco Rd
Kent City, Mi 49330",6,7
-85.5775108079999,43.2198139280001,328,17,445005,10.754,541005,CL,P,Cedar Springs,US-131,M-46/17 Mile Road,104,SW,"From northbound US-131 take exit 104/M-46/17 Mile Road at Cedar Springs.  Turn left/west onto M-46/17 Mile Road.  Lot is first left/south inside interchange.

From southbound US-131 take exit 104/M-46/17 Mile Road at Cedar Springs.  Turn left/east onto 17 Mile Road.  Lot is first right/south inside interchange.

From eastbound M-46/17 Mile Road lot is first right/south past southbound US-131 on-ramp inside US-131/M-46 interchange.",Yes,2019,95,16,Yes,Paved,41,"3725 17 Mile Rd NE
Cedar Springs, Mi 49319",7,7
-85.6101386449999,43.116930306,329,17,445106,9.055,541007,CL,P,Rockford,US-131,10 Mile Road,97,SW,"From northbound US-131 take exit 97/10 Mile Road near Rockford.  Turn left/west onto 10 Mile Road.  Lot is first left/south beyond interchange.

From southbound US-131 take exit 97/10 Mile Road near Rockford.  Turn right/west onto 10 Mile Road.  Lot is first left/south.",Yes,2019,45,19,Yes,Paved,41,"2335 10 Mile Rd NE
Rockford, Mi 49341",8,8
-84.139399855,43.2974347150001,330,17,465106,0.132,673005,CL,P,St. Charles,M-52/Bell Ave.,Marcy Street,,SE,"From northbound M-52 in St. Charles continue straight ahead on Bell Street when M-52 turns left/north onto Saginaw Street. Lot lies on right/south 1 block beyond Saginaw/Bell intersection.

From southbound M-52 in St. Charles turn left/east onto Bell Street where M-52 turns right/west onto Bell Street. Lot lies on right/south 1 block east of Saginaw/Bell intersection.",Yes,2019,16,5,Yes,Paved,73,"116 Marcy St Charles, MI 48655",2,2
-83.8657896619999,43.351257602,331,17,468305,10.928,673004,CL,P,Bridgeport,I-75,Dixie Highway,144,NW,"From northbound I-75, take exit 144 near Bridgeport. Turn left/northwest onto Dixie Highway. Lot is first right/north past freeway inside interchange.

From southbound I-75, take exit 144 near Bridgeport. Turn left/southeast onto Dixie Highway. Lot is first left/north inside interchange.",Yes,2019,106,36,Yes,Paved,73,"6415 Dixie Hwy, Bridgeport, MI 48722",6,6
-83.9890020839999,43.1749351,332,17,474104,2.944,673002,CL,P,Layton Corners,M-57,Lincoln Road,,SW,"From eastbound M-57, the lot is on the right/south about 1 mile east of Briggs Road at Maple Grove Township Hall about 6 miles east of Chesaning.

From westbound M-57, the lot is the third left/south past Lincoln Road at Maple Grove Township Hall about 5 miles west of Montrose.",Yes,2019,42,4,Yes,Paved,73,"4057 Peet Rd, Chesaning, MI 48616",4,4
-84.0916519799999,43.4856693420001,333,17,476509,0.043,673003,CL,P,Freeland,M-47,Garfield Road,,SE,"From northbound M-47, turn right/north onto Garfield Road about 4.5 miles north of M-58 intersection west of Saginaw. Lot is first right/east.

From southbound M-47, turn left/north onto Garfield Road about 3 miles south of Freeland. Lot is first right/east.",Yes,2019,25,5,No,Paved,73,"5346 Garfield Rd, Saginaw, MI 48603",7,7
-84.1689672479999,43.186843621,334,17,483309,4.017,673001,CL,P,Chesaning/Oakley,M-52,M-57,,NW,"From northbound M-52, lot is first left/west past M-57 intersection 13 miles north of Owosso.

From southbound M-52, lot is last right/west before M-57 intersection 8 miles south of St. Charles.

From eastbound M-57, turn left/north onto M-52 3 miles west of Chesaning (20 miles east of US-27 intersection south of Ithaca).  Lot is first left/west.

From westbound M-57, turn right/north onto M-52 3 miles west of Chesaning.  Lot is first left/west.",Yes,2019,20,4,Near,Paved,73,"15948 S Oakley Rd, Chesaning, MI 48616",6,6
-84.5692296679999,43.176001882,335,17,497406,13.506,529002,CL,P,Perrinton/Ashley #1 (NW),US-127,M-57,109,NW,"Northwest Quadrant Lot
From northbound US-127 take M-57 (Exit 109). Turn left/west onto M-57. Turn right/north onto Romney Road, first right/north past the overpass. Lot is first right/east.

From southbound US-127 take M-57 (Exit 109). Turn left/west onto M-57. Turn right/north onto Romney Road, first right/north past the overpass. Lot is first right/east.

Southeast Quadrant Lot
From northbound US-127 take M-57 (Exit 109). Turn right/east onto M-57. Turn right/south onto Bagley Road. Lot is first right/west.

From southbound US-127 take M-57 (Exit 109). Turn right/east onto M-57. Turn right/south onto Bagley Road. Lot is first right/west.",Yes,2019,54,15,Yes,Paved,29,"Romney Rd, Ashley, MI 48806",7,7
-84.5584953979999,43.175971911,336,17,497406,14.048,529005,CL,P,Perrinton/Ashley #2 (SE),US-127,M-57,109,SE,"Southeast Quadrant Lot
From northbound Us-127 take M-57 (Exit 109). Turn right/east onto M-57. Turn right/south onto Bagley Rd. (first right/south). Lot is right/west. From southbound US-127 turn right/east onto M-57 (Exit 109). Turn right/south onto Bagley Rd. (second right/south past the overpass and ramps). Lot is first right/west.",Yes,2019,58,7,Yes,Paved,29,"Bagley Rd, Ashley, MI 48806",2,2
-84.6683659509999,43.4079821220001,337,17,497604,8.903,529003,CL,P,Alma/St. Louis - North,US-127BR,M-46/Monroe Road,124,SW,"From northbound US-127 take M-46/Business US-127 (Exit 124) north of Alma. Turn left/west onto M-46/Monroe Road. Lot is first left/south past Business US-127/Alger Road intersection.

From southbound US-127 take first M-46/Business US-127/Alger Road (Exit 124)/ Turn right/south onto Business US-127/Alger Road. Turn right/west onto M-46/Monroe Road. Lot is first left/south on M-46/Monroe Road.

From eastbound M-46/Monroe Road lot is last right/south before Business US-127/Alger Road.

From westbound M-46/Monroe Road lot is last right/south past Business US-127/Alger Road.

From northbound Business US-127/Alger Road turn left/west onto M-46/Monroe Road north of Alma. Lot is first left/south.",Yes,2019,100,21,Yes,Paved,29,"3180 W Monroe Rd
Alma, Mi 48801",6,6
-84.5811906279999,43.291654996,338,17,500401,10.675,529001,CL,P,Ithaca,US-127,US-127BR/Washington Road,117,NE,"From northbound US-127 take Business Us-127/Washington Road (Exit 117) at Ithaca. Turn right/west at end of ramp. Lot is first right/north inside interchange.

From southbound US-127 take Business US-127/Washington Road (Exit 117) at Ithaca. Turn (second Ithaca exit). Turn left/east at end of ramp. Lot is first left/north past overpass inside interchange.",Yes,2019,89,11,Near,Paved,29,"1067 E Washington Rd Ithaca, MI 48847",6,6
-84.601334139,43.3787858370001,339,17,500608,11.654,529004,CL,P,Alma/St. Louis - South,US-127,US-127BR/Lincoln Road,123,SE,"From northbound US-127 take Business US-127/Lincoln Road (Exit 124) south of Alma (first exit). Turn Right on N. State St. Then Left on to Lincoln Rd. The lot is located on your left.

From southbound US-127 take Business US-12/State Road (Exit 123) south of Alma. Turn right/south at end of ramp onto State Road. Turn left/east onto Lincoln Road (first left/exit past interchange). Lot is first right/south past freeway overpass across from northbound US-127 off-ramp.

From eastbound Business US-127/Lincoln Road in Alma lot is first right/south past freeway overpass across from northbound US-127 off-ramp.

From southbound Business Us-127/State Road in St. Louis turn left/east onto Lincoln Road past US-127 interchange. Lot is first right/south past freeway overpass across from northbound US-127 off-ramp.",Yes,2019,84,7,No,Paved,29,"646 E Lincoln Rd
Alma, Mi 48801",6,6
-85.075119892,43.071015103,340,17,503510,6.048,534001,CL,P,Ionia/Belding,M-66,M-44,,SW,"From northbound M-66 lot is on left/west, just south of M-44.

From southbound M-66 lot is on right/west, just south of M-44.

From eastbound M-44 turn right/south onto M-66. Lot is on right/west.",Yes,2019,30,9,No,Paved,34,"5667 M-66 (Or State Rd), Orleans, MI 48865",7,7
-84.962129825,42.87142965,341,17,505001,17.732,534002,CL,P,Portland - West,I-96,Portland Road,73,NW,"From eastbound I-96 take exit 73/ Portland Road/Grand River Avenue west of Portland.  Turn left/west onto Grand River Avenue.  Turn left/west onto Portland Road (first left/west).  Lot is first right/north.

From westbound I-96 take exit 73/ Portland Road/Grand River Avenue west of Portland.  Turn left/east onto Portland Road.  Lot is first left/north past overpass.",Yes,2019,15,5,No,Paved,34,"5980 Portland Rd
Portland, Mi 48875",3,3
-85.13500571,42.8861755250001,342,17,505403,8.99,534005,CL,P,Lake Odessa,I-96,Jordan Lake Rd.at Grand River Ave.,64,NW,"From westbound I-96 take exit 64/Jordan Lake Road north of Lake Odessa.  Turn right/north onto Jordan Lake Road.  Turn left/west onto Grand River Avenue about 0.5 miles north of interchange.  Lot is first left/south.

From eastbound I-96 take exit 64/Jordan Lake Road north of Lake Odessa.  Turn left/north onto Jordan Lake Road.  Turn left/west onto Grand River Avenue about 0.5 miles north of interchange.  Lot is first left/south.",Yes,2019,24,12,No,Paved,34,"3030 Grand River Ave
Saranac, Mi 48881",7,6
-85.49030784,43.5836487460001,343,17,524902,3.586,554001,CL,P,Stanwood,US-131,8 Mile Road,131,NW,"From northbound US-131 take exit 131 near Stanwood.  Turn left/west onto M-20.  Lot is first right/north after overpass inside interchange.

From southbound US-131 take exit 131 near Stanwood.  Turn left/east onto M-20.  Lot is first left/north inside interchange.",Yes,2019,40,5,Yes,Paved,54,"20915 8 Mile Rd
Stanwood, Mi 49346",4,4
-85.4782743819999,43.4903289480001,344,17,526804,0.04,554003,CL,P,Morley,US-131,Jefferson Road,125,NE,"From northbound US-131 take exit 125 near Morley.  Turn right/east onto Jefferson Road.  Turn left/north onto 200th Avenue (first road on left/north).  Lot is first right/east.

From southbound US-131 take exit 125 near Morley.  Turn left/east onto Jefferson Road.  Turn left/north onto 200th Avenue (first road on left/north).  Lot is first right/east.",Yes,2019,17,7,Yes,Paved,54,"151 200th Ave
Morley, Mi 49336",7,7
-84.612122088,45.4032961890001,345,17,542607,1.075,416001,CL,P,Indian River,I-75,M-68,310,SW,"From northbound I-75 take exit 310/M-68 at Indian River. Turn left/west onto M-68. Lot is second left/south west of interchange adjacent to gas station.

From southbound I-75 take exit 310/M-68 at Indian River. Turn right/west onto M-68. Lot is second left/south adjacent to gas station.

From eastbound M-68 in Indian River lot is next to last right/south before I-75 interchange and is adjacent to gas station.

From westbound M-68 in Indian River lot is second left/south west of I-75 interchange and is adjacent to gas station.",No,2019,10,4,Yes,Paved,16,"6157 M-68, Indian River, MI 49749",3,3
-84.353729167,42.7972938190001,346,17,552403,0.542,676002,CL,P,Laingsburg/Shaftsburg,I-69,Woodbury Road,98,SW,"From eastbound I-69 take exit 98 south of Laingsburg.  Turn right/south onto Woodbury Road.  Turn right/west onto Lansing Road (first road south of interchange).  Lot is first right/north.

From westbound I-69 take exit 98 west of Perry.  Turn left/south onto Woodbury Road.  Turn right/west onto Lansing Road (first road south of interchange).  Lot is first right/north.",Yes,2019,43,17,No,Paved,76,"10101-10367 Lansing Rd, Haslett, Mi 48840",7,7
-84.095859489,42.895413466,347,17,552503,4.507,676001,CL,P,Bancroft,I-69,Grand River Road,113,NW,"From eastbound I-69 take exit 113 near Bancroft.  Turn left/north onto Grand River Road.  Lot is first left/west north of interchange.

From westbound I-69 take exit 113 near Bancroft.  Turn right/north onto Grand River Road.  Lot is first left/west.",Yes,2019,26,9,No,Paved,76,3390 Grand River Rd.,4,4
-84.821525036,42.5747359170001,348,17,566004,0.028,823001,CL,P,Charlotte,I-69,I-69BL,61,NW,"From southbound I-69 take exit 61 near Charlotte.  Turn right/west onto Business I-69/Lansing Road.  Turn right/north onto Tully Brown Drive (first right/north).  Lot is first right/east.

From northbound I-69 take exit 61 northeast of Charlotte.  Turn left/west onto Business I-69/Lansing Road.  Turn right/north onto Tully Brown Drive (first right/north past southbound I-69 off-ramp).  Lot is first right/east.

From northbound Business I-69/Lansing Road in Charlotte turn left/north onto Tully Brown Drive (last left/north before I-69 interchange).  Lot is first right/east.",Yes,2019,56,11,Yes,Paved,23,"808-809 Tully Brown Dr
Charlotte, Mi 48813",5,5
-85.886025208,42.2046354570001,349,17,579901,10.818,780001,CL,P,Paw Paw/Lawton,I-94,M-40,60,SE,"From westbound I-94 take exit 60 near Paw Paw.  Turn left/south onto M-40.  Lot is first left/east south of interchange.

From eastbound I-94 take exit 60 near Paw Paw.  Turn right/south onto M-40.  Lot is first left/east.

From southbound M-40 lot is first left/east past I-94 interchange south of Paw Paw.

From northbound M-40 lot is on right/east side of road just before I-94 interchange south of Paw Paw (about 4 miles north of Lawton).",Yes,2019,83,13,Yes,Paved,80,"60257 M-40
Paw Paw, Mi 49079",8,8
-85.8787819089999,42.3019210590001,350,17,579901,17.819,780004,CL,P,Glendale/Gobles,M-43,M-40,,SE,"From southbound M-40 lot is first left/east south of M-43 intersection 4 miles south of Gobles.

From northbound M-40 lot is last right/east before M-43 intersection 1 mile north of 36th Avenue (about 6 miles north of Paw Paw).

From westbound M-43 turn left/south onto M-40 about 11 miles west of US-131 interchange west of Kalamazoo.  Lot is first left/south on M-40.

From eastbound M-43 turn right/south onto M-40 about 12 miles east of Bangor.  Lot is first left/east on M-40.",Yes,2019,55,8,Near,Paved,80,"32255 M-40, Paw Paw, MI 49079",9,9
